dgap  aPG  aPGs  aPGr  aPGsr
1.00e+00 1.23e+05 1.23e+05 1.23e+05 1.23e+05
7.22e-01 1.23e+05 1.23e+05 1.23e+05 1.23e+05
5.21e-01 1.23e+05 1.23e+05 1.23e+05 1.23e+05
3.76e-01 1.23e+05 1.23e+05 1.23e+05 1.23e+05
2.72e-01 2.47e+05 2.38e+05 2.47e+05 2.39e+05
1.96e-01 2.47e+05 2.38e+05 2.47e+05 2.39e+05
1.42e-01 2.47e+05 2.38e+05 2.47e+05 2.39e+05
1.02e-01 2.47e+05 2.38e+05 2.47e+05 2.39e+05
7.39e-02 2.47e+05 2.38e+05 2.47e+05 2.39e+05
5.34e-02 2.47e+05 2.38e+05 2.47e+05 2.39e+05
3.85e-02 8.63e+05 3.23e+05 3.71e+05 2.56e+05
2.78e-02 8.63e+05 3.23e+05 6.17e+05 2.84e+05
2.01e-02 9.86e+05 3.36e+05 8.64e+05 3.10e+05
1.45e-02 9.86e+05 3.36e+05 8.64e+05 3.10e+05
1.05e-02 9.86e+05 3.36e+05 8.64e+05 3.10e+05
7.56e-03 9.86e+05 3.36e+05 1.11e+06 3.30e+05
5.46e-03 9.86e+05 3.36e+05 1.11e+06 3.30e+05
3.94e-03 1.36e+06 3.61e+05 1.11e+06 3.30e+05
2.85e-03 1.48e+06 3.69e+05 1.11e+06 3.30e+05
2.06e-03 1.60e+06 3.77e+05 1.24e+06 3.40e+05
1.48e-03 1.60e+06 3.77e+05 1.24e+06 3.40e+05
1.07e-03 1.73e+06 3.85e+05 1.24e+06 3.40e+05
7.74e-04 1.85e+06 3.92e+05 1.24e+06 3.40e+05
5.59e-04 1.97e+06 4.00e+05 1.24e+06 3.40e+05
4.04e-04 1.97e+06 4.00e+05 1.36e+06 3.48e+05
2.92e-04 2.10e+06 4.07e+05 1.36e+06 3.48e+05
2.10e-04 2.47e+06 4.27e+05 1.36e+06 3.48e+05
1.52e-04 2.59e+06 4.33e+05 1.36e+06 3.48e+05
1.10e-04 2.59e+06 4.33e+05 1.36e+06 3.48e+05
7.92e-05 2.71e+06 4.39e+05 1.36e+06 3.48e+05
5.72e-05 2.71e+06 4.39e+05 1.36e+06 3.48e+05
4.13e-05 2.84e+06 4.45e+05 1.36e+06 3.48e+05
2.98e-05 2.84e+06 4.45e+05 1.48e+06 3.54e+05
2.15e-05 3.33e+06 4.69e+05 1.48e+06 3.54e+05
1.56e-05 3.45e+06 4.75e+05 1.48e+06 3.54e+05
1.12e-05 3.45e+06 4.75e+05 1.48e+06 3.54e+05
8.11e-06 3.58e+06 4.81e+05 1.48e+06 3.54e+05
5.86e-06 3.70e+06 4.87e+05 1.48e+06 3.54e+05
4.23e-06 4.07e+06 5.04e+05 1.48e+06 3.54e+05
3.05e-06 4.19e+06 5.10e+05 1.48e+06 3.54e+05
2.21e-06 4.32e+06 5.16e+05 1.48e+06 3.54e+05
1.59e-06 4.44e+06 5.22e+05 1.48e+06 3.54e+05
1.15e-06 4.44e+06 5.22e+05 1.48e+06 3.54e+05
8.30e-07 4.56e+06 5.28e+05 1.48e+06 3.54e+05
5.99e-07 5.06e+06 5.52e+05 1.48e+06 3.54e+05
4.33e-07 5.18e+06 5.58e+05 1.48e+06 3.54e+05
3.13e-07 5.30e+06 5.64e+05 1.48e+06 3.54e+05
2.26e-07 5.30e+06 5.64e+05 1.48e+06 3.54e+05
1.63e-07 5.43e+06 5.70e+05 1.48e+06 3.54e+05
1.18e-07 5.55e+06 5.75e+05 1.48e+06 3.54e+05
8.50e-08 5.92e+06 5.93e+05 1.48e+06 3.54e+05
6.14e-08 6.04e+06 5.99e+05 1.48e+06 3.54e+05
4.43e-08 6.16e+06 6.05e+05 1.48e+06 3.54e+05
3.20e-08 6.29e+06 6.11e+05 1.48e+06 3.54e+05
2.31e-08 6.41e+06 6.17e+05 1.48e+06 3.54e+05
1.67e-08 6.78e+06 6.35e+05 1.48e+06 3.54e+05
1.20e-08 6.90e+06 6.41e+05 1.48e+06 3.54e+05
8.70e-09 7.03e+06 6.46e+05 1.48e+06 3.54e+05
6.28e-09 7.15e+06 6.52e+05 1.48e+06 3.54e+05
4.53e-09 7.27e+06 6.58e+05 1.48e+06 3.54e+05
3.27e-09 7.40e+06 6.64e+05 1.48e+06 3.54e+05
2.36e-09 7.89e+06 6.88e+05 1.48e+06 3.54e+05
1.71e-09 8.01e+06 6.94e+05 1.48e+06 3.54e+05
1.23e-09 8.01e+06 6.94e+05 1.48e+06 3.54e+05
8.90e-10 8.14e+06 7.00e+05 1.48e+06 3.54e+05
6.43e-10 8.14e+06 7.00e+05 1.48e+06 3.54e+05
4.64e-10 8.75e+06 7.29e+05 1.48e+06 3.54e+05
3.35e-10 8.88e+06 7.35e+05 1.48e+06 3.54e+05
2.42e-10 8.88e+06 7.35e+05 1.48e+06 3.54e+05
1.75e-10 9.00e+06 7.41e+05 1.48e+06 3.54e+05
1.26e-10 9.00e+06 7.41e+05 1.48e+06 3.54e+05
9.11e-11 9.62e+06 7.71e+05 1.48e+06 3.54e+05
6.58e-11 9.74e+06 7.77e+05 1.48e+06 3.54e+05
4.75e-11 9.74e+06 7.77e+05 1.48e+06 3.54e+05
3.43e-11 9.86e+06 7.83e+05 1.48e+06 3.54e+05
2.48e-11 9.86e+06 7.83e+05 1.48e+06 3.54e+05
1.79e-11 9.99e+06 7.88e+05 1.48e+06 3.54e+05
1.29e-11 1.06e+07 8.18e+05 1.48e+06 3.54e+05
9.33e-12 1.06e+07 8.18e+05 1.48e+06 3.54e+05
6.73e-12 1.07e+07 8.24e+05 1.48e+06 3.54e+05
4.86e-12 1.07e+07 8.24e+05 1.48e+06 3.54e+05
3.51e-12 1.09e+07 8.30e+05 1.48e+06 3.54e+05
2.54e-12 1.15e+07 8.59e+05 1.48e+06 3.54e+05
1.83e-12 1.15e+07 8.59e+05 1.48e+06 3.54e+05
1.32e-12 1.16e+07 8.65e+05 1.48e+06 3.54e+05
9.55e-13 1.16e+07 8.65e+05 1.48e+06 3.54e+05
6.89e-13 1.17e+07 8.71e+05 1.48e+06 3.54e+05
4.98e-13 1.23e+07 9.01e+05 1.48e+06 3.54e+05
3.59e-13 1.25e+07 9.07e+05 1.48e+06 3.54e+05
2.60e-13 1.25e+07 9.07e+05 1.48e+06 3.54e+05
1.87e-13 1.25e+07 9.07e+05 1.48e+06 3.54e+05
1.35e-13 1.26e+07 9.13e+05 1.48e+06 3.54e+05
9.77e-14 1.32e+07 9.42e+05 1.48e+06 3.54e+05
7.05e-14 1.33e+07 9.48e+05 1.48e+06 3.54e+05
5.09e-14 1.33e+07 9.48e+05 1.48e+06 3.54e+05
3.68e-14 1.33e+07 9.48e+05 1.48e+06 3.54e+05
2.66e-14 1.34e+07 9.54e+05 1.48e+06 3.54e+05
1.92e-14 1.41e+07 9.84e+05 1.48e+06 3.54e+05
1.38e-14 1.42e+07 9.90e+05 1.48e+06 3.54e+05
1.00e-14 1.42e+07 9.90e+05 1.48e+06 3.54e+05
